Owner,SHA256 Hash,MD5 Hash,File,Size,Last Modified,File Created,Content Scan,File Type,Permissions,Last Accessed
Administrators,f76ed2ef4986185ab086eb7ef8e17b529783d3073ca27064671a27001c9c8fd0,8c527e80e90d625aec6c04d7d5dd0cdc,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\(31-38)Resource+Allocation+Strategies+for+Scalable+Big+Data+Processing+in+Cloud+Environments24+(1)[1].pdf,629201,Wed Jul 31 18:39:25 2024,Wed Jul 31 18:39:25 2024,,application/pdf,666,Fri Aug  9 23:44:22 2024
Ahmad Al-ansary,a696ae4567d8f5ddd0d9f8ba224e9124d359a00143f436edb9afb1fddc0791ae,ea4e82b1bcd05e0bfb73d2e574bc8be0,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\1-s2.0-S2215016124001377-main.pdf,2094861,Wed Jul 10 23:02:45 2024,Wed Jul 10 23:02:42 2024,,application/pdf,666,Tue Jul 23 20:40:31 2024
Ahmad Al-ansary,f76b4b8af0942a38ad47d23a24ac9def6996299256ada905e9ec85c645f7d3d5,8e09dd437329daa5b1807fe385a416a7,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\2023-Annual-Fraud-Landscape.pdf,1192574,Fri Jul  5 16:23:34 2024,Fri Jul  5 16:23:25 2024,,application/pdf,666,Thu Sep 19 17:01:18 2024
Ahmad Al-ansary,e1374c276b5b6ba8b79419b4eff3ff74362e09b56097ceb48120f74afe4fbcd5,c3a79f992128d81415c1e0f03413bb4a,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\2024-Global-Financial-Crime-Report-Nasdaq-Verafin-20240115.pdf,5882729,Fri Jul  5 16:35:49 2024,Fri Jul  5 16:35:44 2024,,application/pdf,666,Sat Jul  6 17:00:28 2024
Ahmad Al-ansary,def9f9f8ef2772bbce3fe9a49683d388fa6a3d294734aab9370608de5e47fe40,c484ea9a1dc122266797047b3131c0ad,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\5 ways to leverage AI and ML for cybersecurity defense.pdf,428263,Sun Jun 23 14:53:14 2024,Sun Jun 23 14:53:12 2024,,application/pdf,666,Mon Jul  1 22:59:34 2024
Ahmad Al-ansary,3bdcea3ba153d0788d2a87b54f603419ded8c0d71a21838db862d83926dd766a,79454215d357b546c923b242d6fdeb2f,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\A comprehensive review study of cyber-attacks and cyber security;.pdf,5762433,Wed Jul 10 22:46:07 2024,Wed Jul 10 22:45:04 2024,,application/pdf,666,Tue Jul 30 11:12:37 2024
Ahmad Al-ansary,624ce6992ec40aced1698641ab238da2391ff1da3b82ad5c0b993e1f642a0788,c6185592a99f2b939d8a42fb80147b4b,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\A comprehensive survey of AI-enabled phishing attacks detection.pdf,1364904,Wed Jul 10 12:20:40 2024,Wed Jul 10 12:20:36 2024,,application/pdf,666,Wed Jul 10 12:31:44 2024
Ahmad Al-ansary,8920970a17723d0e4608280132a876c538813f5d3a51845f90fa2f37a691ba93,56380b6540e81e3166c99fd01579c951,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\A Framework for Preserving Data Integrity.pdf,194113,Wed Jul 10 15:21:17 2024,Wed Jul 10 15:21:15 2024,,application/pdf,666,Wed Jul 10 15:21:19 2024
Ahmad Al-ansary,7f6c0a50475149e11e3b7efc9c0a00383652b7cae62f80facd8ae2684ef251e7,298e32f1e941b9d7d5aec79669cfdb2f,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\adversarial attacks.pdf,1036360,Wed Jul 10 12:15:55 2024,Wed Jul 10 12:15:47 2024,,application/pdf,666,Wed Jul 10 12:32:00 2024
Ahmad Al-ansary,17b2e35e2ec82d6d9776cd017b416c4c5a9ba0f5380fe0a45242ea511d37ca24,8a4c3c735f75834604d314425f62dbe3,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\AHMAD-MUSTAPHA-Resume.pdf,108478,Sun Jul 21 17:25:44 2024,Sun Jul 21 17:25:42 2024,,application/pdf,666,Tue Aug 20 16:20:21 2024
Ahmad Al-ansary,af211ab0d48dd61aadccc7cd8fe701315e458fa3c14c35d6ec39c5285aa505e7,7fc55d7a35122d48ffcad321f4acb57b,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\AI based behavioral malware detection.pdf,4674296,Tue Jul  2 23:31:52 2024,Tue Jul  2 23:31:48 2024,,application/pdf,666,Wed Jul  3 12:56:43 2024
Ahmad Al-ansary,edcfced148cb164c16e3321be7a69250f5be257fc39a46bbaa5baaabcf1085ff,35724b1076584c6e771a354b74464165,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\AI lecture1423725949.pdf,3016421,Sun Jun 16 22:53:36 2024,Sun Jun 16 22:53:33 2024,,application/pdf,666,Sun Jun 16 22:56:27 2024
